"Story","Title","Result","Date","Stability","Duration (s)"
"Ebsa regression","Verify all of the About EBSA tabs from the EBSA page","SUCCESS","2017-10-05T09:46:31.111-04:00","0.0","22.38"
"Ilab regression","Verify all of the About Us tabs from the ILAB page","SUCCESS","2017-10-05T09:48:39.517-04:00","0.0","29.98"
"Dol homepage regression","Verify all of the Agencies sub-navigation tabs open correctly","SUCCESS","2017-10-05T09:51:26.519-04:00","0.0","16.97"
"Ebsa regression","Verify all of the Employers & Advisers tabs from the EBSA page","SUCCESS","2017-10-05T09:47:17.081-04:00","0.0","19.63"
"Ilab regression","Verify all of the ILAB In Action tabs from the ILAB page","SUCCESS","2017-10-05T09:49:44.757-04:00","0.0","16.83"
"Ebsa regression","Verify all of the Key Topics tabs from the EBSA page","SUCCESS","2017-10-05T09:47:59.570-04:00","0.0","17.37"
"Ebsa regression","Verify all of the Laws & Regulations tabs from the EBSA page","SUCCESS","2017-10-05T09:48:16.953-04:00","0.0","20.86"
"Ilab regression","Verify all of the Our Work tabs from the ILAB page","SUCCESS","2017-10-05T09:49:09.507-04:00","0.0","17.65"
"Dol homepage regression","Verify all of the Press sub-navigation tabs open correctly","SUCCESS","2017-10-05T09:51:43.501-04:00","0.0","26.27"
"Ebsa regression","Verify all of the Researchers tabs from the EBSA page","SUCCESS","2017-10-05T09:47:36.724-04:00","0.0","22.83"
"Ilab regression","Verify all of the Resources tabs from the ILAB page","SUCCESS","2017-10-05T09:49:27.170-04:00","0.0","17.57"
"Dol homepage regression","Verify all of the Topics sub-navigation tabs open correctly","SUCCESS","2017-10-05T09:50:57.904-04:00","0.0","28.6"
"Ebsa regression","Verify all of the Workers & Families tabs from the EBSA page","SUCCESS","2017-10-05T09:46:53.505-04:00","0.0","23.55"
"Dol homepage regression","Verify all of the navbar tabs to assert that the pages open correctly","SUCCESS","2017-10-05T09:50:02.793-04:00","0.0","55.1"
"Ebsa regression","Verify the Ask EBSA and EBSA Home menu items","SUCCESS","2017-10-05T09:45:56.761-04:00","0.0","34.22"
