"Story","Title","Result","Date","Stability","Duration (s)"
"Ebsa regression","Verify all of the About EBSA tabs from the EBSA page","SUCCESS","2017-10-04T16:48:08.327-04:00","0.0","23.74"
"Ilab regression","Verify all of the About Us tabs from the ILAB page","SKIPPED","2017-10-04T16:50:08.665-04:00","0.0","0.0"
"Dol homepage regression","Verify all of the Agencies sub-navigation tabs open correctly","SKIPPED","2017-10-04T16:50:10.091-04:00","0.0","0.0"
"Ebsa regression","Verify all of the Employers & Advisers tabs from the EBSA page","SUCCESS","2017-10-04T16:48:48.722-04:00","0.0","20.33"
"Dol homepage regression","Verify all of the Footer navigation links open correctly","SKIPPED","2017-10-04T16:50:10.123-04:00","0.0","0.0"
"Ilab regression","Verify all of the ILAB In Action tabs from the ILAB page","SKIPPED","2017-10-04T16:50:08.698-04:00","0.0","0.0"
"Ebsa regression","Verify all of the Key Topics tabs from the EBSA page","SUCCESS","2017-10-04T16:49:28.792-04:00","0.0","19.08"
"Ebsa regression","Verify all of the Laws & Regulations tabs from the EBSA page","SUCCESS","2017-10-04T16:49:47.871-04:00","0.0","19.2"
"Ilab regression","Verify all of the Our Work tabs from the ILAB page","SKIPPED","2017-10-04T16:50:08.682-04:00","0.0","0.02"
"Dol homepage regression","Verify all of the Press sub-navigation tabs open correctly","SKIPPED","2017-10-04T16:50:10.107-04:00","0.0","0.02"
"Ebsa regression","Verify all of the Researchers tabs from the EBSA page","SUCCESS","2017-10-04T16:49:09.051-04:00","0.0","19.73"
"Ilab regression","Verify all of the Resources tabs from the ILAB page","SKIPPED","2017-10-04T16:50:08.698-04:00","0.0","0.0"
"Dol homepage regression","Verify all of the Social Media navigation links open correctly","SKIPPED","2017-10-04T16:50:10.123-04:00","0.0","0.0"
"Dol homepage regression","Verify all of the Topics sub-navigation tabs open correctly","SKIPPED","2017-10-04T16:50:10.091-04:00","0.0","0.0"
"Ebsa regression","Verify all of the Workers & Families tabs from the EBSA page","SUCCESS","2017-10-04T16:48:32.067-04:00","0.0","16.66"
"Dol homepage regression","Verify all of the navbar tabs to assert that the pages open correctly","SKIPPED","2017-10-04T16:50:10.076-04:00","0.0","0.02"
"Ebsa regression","Verify the Ask EBSA and EBSA Home menu items","SUCCESS","2017-10-04T16:47:45.393-04:00","0.0","22.87"
