"Story","Title","Result","Date","Stability","Duration (s)"
"Ebsa regression","Verify all of the About EBSA tabs from the EBSA page","SUCCESS","2017-10-05T14:14:05.451-04:00","0.0","22.1"
"Ilab regression","Verify all of the About Us tabs from the ILAB page","SUCCESS","2017-10-05T14:16:02.129-04:00","0.0","34.35"
"Dol homepage regression","Verify all of the Agencies sub-navigation tabs open correctly","SUCCESS","2017-10-05T14:19:17.675-04:00","0.0","21.41"
"Ebsa regression","Verify all of the Employers & Advisers tabs from the EBSA page","SUCCESS","2017-10-05T14:14:44.147-04:00","0.0","20.09"
"Dol homepage regression","Verify all of the Footer navigation links open correctly","SUCCESS","2017-10-05T14:19:39.093-04:00","0.0","42.78"
"Ilab regression","Verify all of the ILAB In Action tabs from the ILAB page","SUCCESS","2017-10-05T14:17:17.220-04:00","0.0","19.44"
"Ebsa regression","Verify all of the Key Topics tabs from the EBSA page","SUCCESS","2017-10-05T14:15:23.800-04:00","0.0","18.59"
"Ebsa regression","Verify all of the Laws & Regulations tabs from the EBSA page","SUCCESS","2017-10-05T14:15:42.398-04:00","0.0","18.3"
"Ilab regression","Verify all of the Our Work tabs from the ILAB page","SUCCESS","2017-10-05T14:16:36.492-04:00","0.0","20.15"
"Ebsa regression","Verify all of the Researchers tabs from the EBSA page","SUCCESS","2017-10-05T14:15:04.246-04:00","0.0","19.55"
"Ilab regression","Verify all of the Resources tabs from the ILAB page","SUCCESS","2017-10-05T14:16:56.653-04:00","0.0","20.56"
"Dol homepage regression","Verify all of the Social Media navigation links open correctly","SUCCESS","2017-10-05T14:20:21.879-04:00","0.0","72.94"
"Dol homepage regression","Verify all of the Topics sub-navigation tabs open correctly","SUCCESS","2017-10-05T14:18:42.420-04:00","0.0","35.24"
"Ebsa regression","Verify all of the Workers & Families tabs from the EBSA page","SUCCESS","2017-10-05T14:14:27.563-04:00","0.0","16.57"
"Dol homepage regression","Verify all of the navbar tabs to assert that the pages open correctly","SUCCESS","2017-10-05T14:17:39.561-04:00","0.0","62.85"
"Ebsa regression","Verify the Ask EBSA and EBSA Home menu items","SUCCESS","2017-10-05T14:13:44.051-04:00","0.0","21.35"
