"Story","Title","Result","Date","Stability","Duration (s)"
"Ebsa regression","Verify all of the About EBSA tabs from the EBSA page","SUCCESS","2017-11-20T11:18:44.824-05:00","0.0","20.36"
"Dol homepage regression","Verify all of the Agencies sub-navigation tabs open correctly","SUCCESS","2017-11-20T11:22:35.600-05:00","0.0","19.19"
"Ebsa regression","Verify all of the Employers & Advisers tabs from the EBSA page","SUCCESS","2017-11-20T11:19:19.669-05:00","0.0","17.39"
"Dol homepage regression","Verify all of the Footer navigation links open correctly","SUCCESS","2017-11-20T11:23:21.127-05:00","0.0","39.53"
"Ilab regression","Verify all of the ILAB In Action tabs from the ILAB page","SUCCESS","2017-11-20T11:20:34.634-05:00","0.0","30.92"
"Ebsa regression","Verify all of the Key Topics tabs from the EBSA page","SUCCESS","2017-11-20T11:19:54.259-05:00","0.0","16.41"
"Ebsa regression","Verify all of the Laws & Regulations tabs from the EBSA page","SUCCESS","2017-11-20T11:20:10.678-05:00","0.0","20.38"
"Dol homepage regression","Verify all of the Press sub-navigation tabs open correctly","SUCCESS","2017-11-20T11:22:54.798-05:00","0.0","26.32"
"Ebsa regression","Verify all of the Researchers tabs from the EBSA page","SUCCESS","2017-11-20T11:19:37.073-05:00","0.0","17.18"
"Dol homepage regression","Verify all of the Social Media navigation links open correctly","SUCCESS","2017-11-20T11:24:00.669-05:00","0.0","86.35"
"Dol homepage regression","Verify all of the Topics sub-navigation tabs open correctly","SUCCESS","2017-11-20T11:22:07.593-05:00","0.0","28.0"
"Ebsa regression","Verify all of the Workers & Families tabs from the EBSA page","SUCCESS","2017-11-20T11:19:05.200-05:00","0.0","14.45"
"Dol homepage regression","Verify all of the navbar tabs to assert that the pages open correctly","SUCCESS","2017-11-20T11:21:06.689-05:00","0.0","60.89"
"Ebsa regression","Verify the Ask EBSA and EBSA Home menu items","SUCCESS","2017-11-20T11:18:14.788-05:00","0.0","29.89"
