"Story","Title","Result","Date","Stability","Duration (s)"
"Ebsa regression","Verify all of the About EBSA tabs from the EBSA page","SUCCESS","2017-11-14T14:30:57.316-05:00","0.0","22.58"
"Ilab regression","Verify all of the About Us tabs from the ILAB page","SUCCESS","2017-11-14T14:33:01.741-05:00","0.0","40.93"
"Dol homepage regression","Verify all of the Agencies sub-navigation tabs open correctly","SUCCESS","2017-11-14T14:36:39.653-05:00","0.0","21.94"
"Ebsa regression","Verify all of the Employers & Advisers tabs from the EBSA page","SUCCESS","2017-11-14T14:31:41.520-05:00","0.0","19.8"
"Dol homepage regression","Verify all of the Footer navigation links open correctly","SUCCESS","2017-11-14T14:37:31.822-05:00","0.0","42.49"
"Ilab regression","Verify all of the ILAB In Action tabs from the ILAB page","SUCCESS","2017-11-14T14:34:28.568-05:00","0.0","20.27"
"Ebsa regression","Verify all of the Key Topics tabs from the EBSA page","SUCCESS","2017-11-14T14:32:20.561-05:00","0.0","17.99"
"Ebsa regression","Verify all of the Laws & Regulations tabs from the EBSA page","SUCCESS","2017-11-14T14:32:38.566-05:00","0.0","19.83"
"Ilab regression","Verify all of the Our Work tabs from the ILAB page","SUCCESS","2017-11-14T14:33:42.683-05:00","0.0","20.56"
"Dol homepage regression","Verify all of the Press sub-navigation tabs open correctly","SUCCESS","2017-11-14T14:37:01.611-05:00","0.0","30.2"
"Ebsa regression","Verify all of the Researchers tabs from the EBSA page","SUCCESS","2017-11-14T14:32:01.329-05:00","0.0","19.22"
"Ilab regression","Verify all of the Resources tabs from the ILAB page","SUCCESS","2017-11-14T14:34:03.254-05:00","0.0","25.3"
"Dol homepage regression","Verify all of the Social Media navigation links open correctly","SUCCESS","2017-11-14T14:38:14.320-05:00","0.0","90.78"
"Dol homepage regression","Verify all of the Topics sub-navigation tabs open correctly","SUCCESS","2017-11-14T14:36:06.643-05:00","0.0","32.99"
"Ebsa regression","Verify all of the Workers & Families tabs from the EBSA page","SUCCESS","2017-11-14T14:31:19.904-05:00","0.0","21.6"
"Dol homepage regression","Verify all of the navbar tabs to assert that the pages open correctly","SUCCESS","2017-11-14T14:34:50.244-05:00","0.0","76.38"
"Ebsa regression","Verify the Ask EBSA and EBSA Home menu items","SUCCESS","2017-11-14T14:29:54.025-05:00","0.0","62.98"
