"Story","Title","Result","Date","Stability","Duration (s)"
"Ebsa regression","Verify all of the About EBSA tabs from the EBSA page","SUCCESS","2017-12-07T10:11:07.280-05:00","0.0","24.29"
"Ilab regression","Verify all of the About Us tabs from the ILAB page","SUCCESS","2017-12-07T10:13:22.537-05:00","0.0","32.66"
"Dol homepage regression","Verify all of the Agencies sub-navigation tabs open correctly","SUCCESS","2017-12-07T10:16:30.825-05:00","0.0","17.57"
"Ebsa regression","Verify all of the Employers & Advisers tabs from the EBSA page","SUCCESS","2017-12-07T10:11:45.945-05:00","0.0","17.2"
"Dol homepage regression","Verify all of the Footer navigation links open correctly","SUCCESS","2017-12-07T10:17:14.981-05:00","0.0","40.72"
"Ilab regression","Verify all of the ILAB In Action tabs from the ILAB page","SUCCESS","2017-12-07T10:14:34.996-05:00","0.0","17.75"
"Ebsa regression","Verify all of the Key Topics tabs from the EBSA page","SUCCESS","2017-12-07T10:12:48.365-05:00","0.0","16.37"
"Ebsa regression","Verify all of the Laws & Regulations tabs from the EBSA page","SUCCESS","2017-12-07T10:13:04.752-05:00","0.0","16.31"
"Ilab regression","Verify all of the Our Work tabs from the ILAB page","SUCCESS","2017-12-07T10:13:55.213-05:00","0.0","20.43"
"Dol homepage regression","Verify all of the Press sub-navigation tabs open correctly","SUCCESS","2017-12-07T10:16:48.407-05:00","0.0","26.57"
"Ebsa regression","Verify all of the Researchers tabs from the EBSA page","FAILURE","2017-12-07T10:12:03.164-05:00","0.0","45.09"
"Ilab regression","Verify all of the Resources tabs from the ILAB page","SUCCESS","2017-12-07T10:14:15.660-05:00","0.0","19.32"
"Dol homepage regression","Verify all of the Social Media navigation links open correctly","SUCCESS","2017-12-07T10:17:55.714-05:00","0.0","96.37"
"Dol homepage regression","Verify all of the Topics sub-navigation tabs open correctly","SUCCESS","2017-12-07T10:16:01.103-05:00","0.0","29.72"
"Ebsa regression","Verify all of the Workers & Families tabs from the EBSA page","SUCCESS","2017-12-07T10:11:31.565-05:00","0.0","14.37"
"Dol homepage regression","Verify all of the navbar tabs to assert that the pages open correctly","SUCCESS","2017-12-07T10:14:53.996-05:00","0.0","67.09"
"Ebsa regression","Verify the Ask EBSA and EBSA Home menu items","SUCCESS","2017-12-07T10:10:34.370-05:00","0.0","32.8"
