"Story","Title","Result","Date","Stability","Duration (s)"
"Ebsa regression","Verify all of the About EBSA tabs from the EBSA page","SUCCESS","2017-11-21T10:40:54.578-05:00","0.0","20.73"
"Dol homepage regression","Verify all of the Agencies sub-navigation tabs open correctly","SUCCESS","2017-11-21T10:45:14.242-05:00","0.0","20.75"
"Ebsa regression","Verify all of the Employers & Advisers tabs from the EBSA page","SUCCESS","2017-11-21T10:41:32.993-05:00","0.0","18.82"
"Dol homepage regression","Verify all of the Footer navigation links open correctly","SUCCESS","2017-11-21T10:46:04.987-05:00","0.0","48.13"
"Ilab regression","Verify all of the ILAB In Action tabs from the ILAB page","SUCCESS","2017-11-21T10:42:57.384-05:00","0.0","30.56"
"Ebsa regression","Verify all of the Key Topics tabs from the EBSA page","SUCCESS","2017-11-21T10:42:14.495-05:00","0.0","17.7"
"Ebsa regression","Verify all of the Laws & Regulations tabs from the EBSA page","SUCCESS","2017-11-21T10:42:32.195-05:00","0.0","21.15"
"Dol homepage regression","Verify all of the Press sub-navigation tabs open correctly","SUCCESS","2017-11-21T10:45:35.004-05:00","0.0","29.97"
"Ebsa regression","Verify all of the Researchers tabs from the EBSA page","SUCCESS","2017-11-21T10:41:51.825-05:00","0.0","22.65"
"Dol homepage regression","Verify all of the Social Media navigation links open correctly","SUCCESS","2017-11-21T10:46:53.131-05:00","0.0","115.25"
"Dol homepage regression","Verify all of the Topics sub-navigation tabs open correctly","SUCCESS","2017-11-21T10:44:41.660-05:00","0.0","32.57"
"Ebsa regression","Verify all of the Workers & Families tabs from the EBSA page","SUCCESS","2017-11-21T10:41:15.322-05:00","0.0","17.66"
"Dol homepage regression","Verify all of the navbar tabs to assert that the pages open correctly","SUCCESS","2017-11-21T10:43:29.288-05:00","0.0","72.36"
"Ebsa regression","Verify the Ask EBSA and EBSA Home menu items","SUCCESS","2017-11-21T10:40:15.963-05:00","0.0","38.48"
