"Story","Title","Result","Date","Stability","Duration (s)"
"Ebsa regression","Verify all of the About EBSA tabs from the EBSA page","SKIPPED","2018-01-09T10:31:31.681-05:00","0.0","0.0"
"Ilab regression","Verify all of the About Us tabs from the ILAB page","SKIPPED","2018-01-09T10:31:31.748-05:00","0.0","0.0"
"Dol homepage regression","Verify all of the Agencies sub-navigation tabs open correctly","SKIPPED","2018-01-09T10:29:40.012-05:00","0.0","0.0"
"Ebsa regression","Verify all of the Employers & Advisers tabs from the EBSA page","SKIPPED","2018-01-09T10:31:31.684-05:00","0.0","0.0"
"Dol homepage regression","Verify all of the Footer navigation links open correctly","SKIPPED","2018-01-09T10:29:40.016-05:00","0.0","0.0"
"Ilab regression","Verify all of the ILAB In Action tabs from the ILAB page","SKIPPED","2018-01-09T10:31:31.753-05:00","0.0","0.0"
"Ebsa regression","Verify all of the Key Topics tabs from the EBSA page","SKIPPED","2018-01-09T10:31:31.687-05:00","0.0","0.0"
"Ebsa regression","Verify all of the Laws & Regulations tabs from the EBSA page","SKIPPED","2018-01-09T10:31:31.688-05:00","0.0","0.0"
"Ilab regression","Verify all of the Our Work tabs from the ILAB page","SKIPPED","2018-01-09T10:31:31.750-05:00","0.0","0.0"
"Dol homepage regression","Verify all of the Press sub-navigation tabs open correctly","SKIPPED","2018-01-09T10:29:40.014-05:00","0.0","0.0"
"Ebsa regression","Verify all of the Researchers tabs from the EBSA page","SKIPPED","2018-01-09T10:31:31.685-05:00","0.0","0.0"
"Ilab regression","Verify all of the Resources tabs from the ILAB page","SKIPPED","2018-01-09T10:31:31.751-05:00","0.0","0.0"
"Dol homepage regression","Verify all of the Social Media navigation links open correctly","FAILURE","2018-01-09T10:29:40.904-05:00","0.0","110.34"
"Dol homepage regression","Verify all of the Topics sub-navigation tabs open correctly","SKIPPED","2018-01-09T10:29:40.009-05:00","0.0","0.0"
"Ebsa regression","Verify all of the Workers & Families tabs from the EBSA page","SKIPPED","2018-01-09T10:31:31.683-05:00","0.0","0.0"
"Dol homepage regression","Verify all of the navbar tabs to assert that the pages open correctly","SKIPPED","2018-01-09T10:29:39.961-05:00","0.0","0.01"
"Ebsa regression","Verify the Ask EBSA and EBSA Home menu items","SKIPPED","2018-01-09T10:31:31.679-05:00","0.0","0.0"
