"Story","Title","Result","Date","Stability","Duration (s)"
"Ebsa regression","Verify all of the About EBSA tabs from the EBSA page","SKIPPED","2017-11-17T16:04:00.301-05:00","0.0","0.0"
"Ilab regression","Verify all of the About Us tabs from the ILAB page","SKIPPED","2017-11-17T16:03:15.045-05:00","0.0","0.0"
"Dol homepage regression","Verify all of the Agencies sub-navigation tabs open correctly","SKIPPED","2017-11-17T16:04:00.909-05:00","0.0","0.0"
"Ebsa regression","Verify all of the Employers & Advisers tabs from the EBSA page","SKIPPED","2017-11-17T16:04:00.307-05:00","0.0","0.0"
"Dol homepage regression","Verify all of the Footer navigation links open correctly","SKIPPED","2017-11-17T16:04:00.915-05:00","0.0","0.0"
"Ebsa regression","Verify all of the Key Topics tabs from the EBSA page","SKIPPED","2017-11-17T16:04:00.315-05:00","0.0","0.0"
"Ebsa regression","Verify all of the Laws & Regulations tabs from the EBSA page","SKIPPED","2017-11-17T16:04:00.320-05:00","0.0","0.0"
"Ilab regression","Verify all of the Our Work tabs from the ILAB page","SKIPPED","2017-11-17T16:03:15.133-05:00","0.0","0.0"
"Dol homepage regression","Verify all of the Press sub-navigation tabs open correctly","SKIPPED","2017-11-17T16:04:00.911-05:00","0.0","0.0"
"Ebsa regression","Verify all of the Researchers tabs from the EBSA page","SKIPPED","2017-11-17T16:04:00.310-05:00","0.0","0.0"
"Ilab regression","Verify all of the Resources tabs from the ILAB page","SKIPPED","2017-11-17T16:03:15.140-05:00","0.0","0.01"
"Dol homepage regression","Verify all of the Social Media navigation links open correctly","SKIPPED","2017-11-17T16:04:00.918-05:00","0.0","0.0"
"Dol homepage regression","Verify all of the Topics sub-navigation tabs open correctly","SKIPPED","2017-11-17T16:04:00.905-05:00","0.0","0.0"
"Ebsa regression","Verify all of the Workers & Families tabs from the EBSA page","SKIPPED","2017-11-17T16:04:00.305-05:00","0.0","0.0"
"Dol homepage regression","Verify all of the navbar tabs to assert that the pages open correctly","SKIPPED","2017-11-17T16:04:00.902-05:00","0.0","0.0"
"Ebsa regression","Verify the Ask EBSA and EBSA Home menu items","SKIPPED","2017-11-17T16:04:00.298-05:00","0.0","0.0"
