"Story","Title","Result","Date","Stability","Duration (s)"
"Ebsa regression","Verify all of the About EBSA tabs from the EBSA page","SUCCESS","2017-11-27T09:51:24.517-05:00","0.0","21.06"
"Ilab regression","Verify all of the About Us tabs from the ILAB page","SKIPPED","2017-11-27T09:53:27.628-05:00","0.0","0.0"
"Dol homepage regression","Verify all of the Agencies sub-navigation tabs open correctly","SUCCESS","2017-11-27T09:55:36.684-05:00","0.0","17.58"
"Ebsa regression","Verify all of the Employers & Advisers tabs from the EBSA page","SUCCESS","2017-11-27T09:52:05.438-05:00","0.0","17.45"
"Dol homepage regression","Verify all of the Footer navigation links open correctly","FAILURE","2017-11-27T09:56:21.315-05:00","0.0","70.24"
"Ilab regression","Verify all of the ILAB In Action tabs from the ILAB page","SUCCESS","2017-11-27T09:53:29.177-05:00","0.0","35.09"
"Ebsa regression","Verify all of the Key Topics tabs from the EBSA page","SUCCESS","2017-11-27T09:52:50.439-05:00","0.0","17.53"
"Ebsa regression","Verify all of the Laws & Regulations tabs from the EBSA page","SUCCESS","2017-11-27T09:53:07.980-05:00","0.0","17.62"
"Ilab regression","Verify all of the Our Work tabs from the ILAB page","SKIPPED","2017-11-27T09:53:27.632-05:00","0.0","0.01"
"Dol homepage regression","Verify all of the Press sub-navigation tabs open correctly","SUCCESS","2017-11-27T09:55:54.283-05:00","0.0","27.02"
"Ebsa regression","Verify all of the Researchers tabs from the EBSA page","SUCCESS","2017-11-27T09:52:22.910-05:00","0.0","27.52"
"Ilab regression","Verify all of the Resources tabs from the ILAB page","SKIPPED","2017-11-27T09:53:27.640-05:00","0.0","0.0"
"Dol homepage regression","Verify all of the Social Media navigation links open correctly","SUCCESS","2017-11-27T09:57:31.779-05:00","0.0","92.57"
"Dol homepage regression","Verify all of the Topics sub-navigation tabs open correctly","SUCCESS","2017-11-27T09:55:06.702-05:00","0.0","29.96"
"Ebsa regression","Verify all of the Workers & Families tabs from the EBSA page","SUCCESS","2017-11-27T09:51:45.590-05:00","0.0","19.83"
"Dol homepage regression","Verify all of the navbar tabs to assert that the pages open correctly","SUCCESS","2017-11-27T09:54:05.436-05:00","0.0","61.25"
"Ebsa regression","Verify the Ask EBSA and EBSA Home menu items","SUCCESS","2017-11-27T09:50:53.891-05:00","0.0","30.53"
