"Story","Title","Result","Date","Stability","Duration (s)"
"Ebsa regression","Verify all of the About EBSA tabs from the EBSA page","SKIPPED","2017-11-20T10:25:32.264-05:00","0.0","0.0"
"Ilab regression","Verify all of the About Us tabs from the ILAB page","SKIPPED","2017-11-20T10:22:28.778-05:00","0.0","0.01"
"Dol homepage regression","Verify all of the Agencies sub-navigation tabs open correctly","SKIPPED","2017-11-20T10:25:32.827-05:00","0.0","0.0"
"Ebsa regression","Verify all of the Employers & Advisers tabs from the EBSA page","SKIPPED","2017-11-20T10:25:32.269-05:00","0.0","0.0"
"Dol homepage regression","Verify all of the Footer navigation links open correctly","SKIPPED","2017-11-20T10:25:32.837-05:00","0.0","0.0"
"Ilab regression","Verify all of the ILAB In Action tabs from the ILAB page","SUCCESS","2017-11-20T10:22:31.489-05:00","0.0","179.05"
"Ebsa regression","Verify all of the Key Topics tabs from the EBSA page","SKIPPED","2017-11-20T10:25:32.275-05:00","0.0","0.0"
"Ebsa regression","Verify all of the Laws & Regulations tabs from the EBSA page","SKIPPED","2017-11-20T10:25:32.282-05:00","0.0","0.0"
"Ilab regression","Verify all of the Our Work tabs from the ILAB page","SKIPPED","2017-11-20T10:22:28.939-05:00","0.0","0.01"
"Dol homepage regression","Verify all of the Press sub-navigation tabs open correctly","SKIPPED","2017-11-20T10:25:32.829-05:00","0.0","0.0"
"Ebsa regression","Verify all of the Researchers tabs from the EBSA page","SKIPPED","2017-11-20T10:25:32.272-05:00","0.0","0.0"
"Ilab regression","Verify all of the Resources tabs from the ILAB page","SKIPPED","2017-11-20T10:22:28.950-05:00","0.0","0.01"
"Dol homepage regression","Verify all of the Social Media navigation links open correctly","SKIPPED","2017-11-20T10:25:32.844-05:00","0.0","0.0"
"Dol homepage regression","Verify all of the Topics sub-navigation tabs open correctly","SKIPPED","2017-11-20T10:25:32.808-05:00","0.0","0.01"
"Ebsa regression","Verify all of the Workers & Families tabs from the EBSA page","SKIPPED","2017-11-20T10:25:32.267-05:00","0.0","0.0"
"Dol homepage regression","Verify all of the navbar tabs to assert that the pages open correctly","SKIPPED","2017-11-20T10:25:32.797-05:00","0.0","0.01"
"Ebsa regression","Verify the Ask EBSA and EBSA Home menu items","SKIPPED","2017-11-20T10:25:32.262-05:00","0.0","0.0"
