"Story","Title","Result","Date","Stability","Duration (s)"
"Ebsa regression","Verify all of the About EBSA tabs from the EBSA page","SUCCESS","2017-10-05T13:33:04.949-04:00","0.0","24.71"
"Ilab regression","Verify all of the About Us tabs from the ILAB page","SUCCESS","2017-10-05T13:35:31.997-04:00","0.0","34.68"
"Dol homepage regression","Verify all of the Agencies sub-navigation tabs open correctly","SUCCESS","2017-10-05T13:38:57.259-04:00","0.0","20.01"
"Ebsa regression","Verify all of the Employers & Advisers tabs from the EBSA page","SUCCESS","2017-10-05T13:33:46.515-04:00","0.0","19.96"
"Dol homepage regression","Verify all of the Footer navigation links open correctly","SUCCESS","2017-10-05T13:39:17.288-04:00","0.0","46.5"
"Ilab regression","Verify all of the ILAB In Action tabs from the ILAB page","SUCCESS","2017-10-05T13:36:47.604-04:00","0.0","19.52"
"Ebsa regression","Verify all of the Key Topics tabs from the EBSA page","SUCCESS","2017-10-05T13:34:25.853-04:00","0.0","18.63"
"Ebsa regression","Verify all of the Laws & Regulations tabs from the EBSA page","SUCCESS","2017-10-05T13:34:44.482-04:00","0.0","46.07"
"Ilab regression","Verify all of the Our Work tabs from the ILAB page","SUCCESS","2017-10-05T13:36:06.679-04:00","0.0","20.1"
"Dol homepage regression","Verify all of the Press sub-navigation tabs open correctly","SKIPPED","2017-10-05T13:37:08.340-04:00","0.0","0.0"
"Ebsa regression","Verify all of the Researchers tabs from the EBSA page","SUCCESS","2017-10-05T13:34:06.489-04:00","0.0","19.36"
"Ilab regression","Verify all of the Resources tabs from the ILAB page","SUCCESS","2017-10-05T13:36:26.779-04:00","0.0","20.83"
"Dol homepage regression","Verify all of the Social Media navigation links open correctly","SUCCESS","2017-10-05T13:40:03.802-04:00","0.0","71.02"
"Dol homepage regression","Verify all of the Topics sub-navigation tabs open correctly","SUCCESS","2017-10-05T13:38:13.196-04:00","0.0","44.06"
"Ebsa regression","Verify all of the Workers & Families tabs from the EBSA page","SUCCESS","2017-10-05T13:33:29.679-04:00","0.0","16.84"
"Dol homepage regression","Verify all of the navbar tabs to assert that the pages open correctly","SUCCESS","2017-10-05T13:37:09.505-04:00","0.0","63.68"
"Ebsa regression","Verify the Ask EBSA and EBSA Home menu items","SUCCESS","2017-10-05T13:32:41.736-04:00","0.0","23.15"
