"Story","Title","Result","Date","Stability","Duration (s)"
"Ebsa regression","Verify all of the About EBSA tabs from the EBSA page","SUCCESS","2017-10-06T10:51:38.452-04:00","0.0","20.77"
"Ilab regression","Verify all of the About Us tabs from the ILAB page","SUCCESS","2017-10-06T10:53:28.326-04:00","0.0","36.63"
"Dol homepage regression","Verify all of the Agencies sub-navigation tabs open correctly","ERROR","2017-10-06T10:56:31.836-04:00","0.0","45.09"
"Ebsa regression","Verify all of the Employers & Advisers tabs from the EBSA page","SUCCESS","2017-10-06T10:52:15.762-04:00","0.0","18.22"
"Dol homepage regression","Verify all of the Footer navigation links open correctly","SUCCESS","2017-10-06T10:57:56.795-04:00","0.0","76.33"
"Ilab regression","Verify all of the ILAB In Action tabs from the ILAB page","SUCCESS","2017-10-06T10:54:46.278-04:00","0.0","17.26"
"Ebsa regression","Verify all of the Key Topics tabs from the EBSA page","SUCCESS","2017-10-06T10:52:52.715-04:00","0.0","17.29"
"Ebsa regression","Verify all of the Laws & Regulations tabs from the EBSA page","SUCCESS","2017-10-06T10:53:10.034-04:00","0.0","16.61"
"Ilab regression","Verify all of the Our Work tabs from the ILAB page","SUCCESS","2017-10-06T10:54:04.969-04:00","0.0","22.79"
"Dol homepage regression","Verify all of the Press sub-navigation tabs open correctly","SUCCESS","2017-10-06T10:57:17.125-04:00","0.0","39.67"
"Ebsa regression","Verify all of the Researchers tabs from the EBSA page","SUCCESS","2017-10-06T10:52:34.002-04:00","0.0","18.69"
"Ilab regression","Verify all of the Resources tabs from the ILAB page","SUCCESS","2017-10-06T10:54:27.755-04:00","0.0","18.51"
"Dol homepage regression","Verify all of the Social Media navigation links open correctly","SUCCESS","2017-10-06T10:59:13.122-04:00","0.0","74.88"
"Dol homepage regression","Verify all of the Topics sub-navigation tabs open correctly","SUCCESS","2017-10-06T10:56:01.297-04:00","0.0","30.52"
"Ebsa regression","Verify all of the Workers & Families tabs from the EBSA page","SUCCESS","2017-10-06T10:51:59.235-04:00","0.0","16.51"
"Dol homepage regression","Verify all of the navbar tabs to assert that the pages open correctly","SUCCESS","2017-10-06T10:55:04.700-04:00","0.0","56.58"
"Ebsa regression","Verify the Ask EBSA and EBSA Home menu items","SUCCESS","2017-10-06T10:51:16.705-04:00","0.0","21.65"
