"Story","Title","Result","Date","Stability","Duration (s)"
"Ebsa regression","Verify all of the About EBSA tabs from the EBSA page","SUCCESS","2017-10-24T10:20:33.837-04:00","0.0","23.16"
"Ilab regression","Verify all of the About Us tabs from the ILAB page","SUCCESS","2017-10-24T10:22:37.571-04:00","0.0","37.43"
"Dol homepage regression","Verify all of the Agencies sub-navigation tabs open correctly","SUCCESS","2017-10-24T10:25:56.675-04:00","0.0","24.52"
"Ebsa regression","Verify all of the Employers & Advisers tabs from the EBSA page","SUCCESS","2017-10-24T10:21:15.296-04:00","0.0","21.3"
"Dol homepage regression","Verify all of the Footer navigation links open correctly","SUCCESS","2017-10-24T10:26:51.879-04:00","0.0","49.01"
"Ilab regression","Verify all of the ILAB In Action tabs from the ILAB page","SUCCESS","2017-10-24T10:23:57.128-04:00","0.0","20.32"
"Ebsa regression","Verify all of the Key Topics tabs from the EBSA page","SUCCESS","2017-10-24T10:21:55.532-04:00","0.0","18.23"
"Ebsa regression","Verify all of the Laws & Regulations tabs from the EBSA page","SUCCESS","2017-10-24T10:22:13.790-04:00","0.0","21.48"
"Ilab regression","Verify all of the Our Work tabs from the ILAB page","SUCCESS","2017-10-24T10:23:15.026-04:00","0.0","20.21"
"Dol homepage regression","Verify all of the Press sub-navigation tabs open correctly","SUCCESS","2017-10-24T10:26:21.220-04:00","0.0","30.63"
"Ebsa regression","Verify all of the Researchers tabs from the EBSA page","SUCCESS","2017-10-24T10:21:36.618-04:00","0.0","18.9"
"Ilab regression","Verify all of the Resources tabs from the ILAB page","SUCCESS","2017-10-24T10:23:35.246-04:00","0.0","21.87"
"Dol homepage regression","Verify all of the Social Media navigation links open correctly","SUCCESS","2017-10-24T10:27:40.913-04:00","0.0","80.42"
"Dol homepage regression","Verify all of the Topics sub-navigation tabs open correctly","SUCCESS","2017-10-24T10:25:21.516-04:00","0.0","35.14"
"Ebsa regression","Verify all of the Workers & Families tabs from the EBSA page","SUCCESS","2017-10-24T10:20:57.020-04:00","0.0","18.25"
"Dol homepage regression","Verify all of the navbar tabs to assert that the pages open correctly","SUCCESS","2017-10-24T10:24:19.091-04:00","0.0","62.39"
"Ebsa regression","Verify the Ask EBSA and EBSA Home menu items","SUCCESS","2017-10-24T10:20:01.690-04:00","0.0","32.05"
