"Story","Title","Result","Date","Stability","Duration (s)"
"Ebsa regression","Verify all of the About EBSA tabs from the EBSA page","SKIPPED","2017-10-24T10:01:22.534-04:00","0.0","0.0"
"Ilab regression","Verify all of the About Us tabs from the ILAB page","SUCCESS","2017-10-24T10:01:59.573-04:00","0.0","34.73"
"Dol homepage regression","Verify all of the Agencies sub-navigation tabs open correctly","SUCCESS","2017-10-24T10:05:27.088-04:00","0.0","18.69"
"Ebsa regression","Verify all of the Employers & Advisers tabs from the EBSA page","SKIPPED","2017-10-24T10:01:22.560-04:00","0.0","0.01"
"Dol homepage regression","Verify all of the Footer navigation links open correctly","SUCCESS","2017-10-24T10:06:13.355-04:00","0.0","42.29"
"Ilab regression","Verify all of the ILAB In Action tabs from the ILAB page","SUCCESS","2017-10-24T10:03:17.981-04:00","0.0","19.65"
"Ebsa regression","Verify all of the Key Topics tabs from the EBSA page","SKIPPED","2017-10-24T10:01:22.585-04:00","0.0","0.01"
"Ebsa regression","Verify all of the Laws & Regulations tabs from the EBSA page","SUCCESS","2017-10-24T10:01:24.761-04:00","0.0","32.94"
"Ilab regression","Verify all of the Our Work tabs from the ILAB page","SUCCESS","2017-10-24T10:02:34.319-04:00","0.0","20.55"
"Dol homepage regression","Verify all of the Press sub-navigation tabs open correctly","SUCCESS","2017-10-24T10:05:45.791-04:00","0.0","27.55"
"Ebsa regression","Verify all of the Researchers tabs from the EBSA page","SKIPPED","2017-10-24T10:01:22.577-04:00","0.0","0.0"
"Ilab regression","Verify all of the Resources tabs from the ILAB page","SUCCESS","2017-10-24T10:02:54.876-04:00","0.0","23.09"
"Dol homepage regression","Verify all of the Social Media navigation links open correctly","SUCCESS","2017-10-24T10:06:55.668-04:00","0.0","66.08"
"Dol homepage regression","Verify all of the Topics sub-navigation tabs open correctly","SUCCESS","2017-10-24T10:04:55.449-04:00","0.0","31.61"
"Ebsa regression","Verify all of the Workers & Families tabs from the EBSA page","SKIPPED","2017-10-24T10:01:22.545-04:00","0.0","0.01"
"Dol homepage regression","Verify all of the navbar tabs to assert that the pages open correctly","SUCCESS","2017-10-24T10:03:38.916-04:00","0.0","76.51"
"Ebsa regression","Verify the Ask EBSA and EBSA Home menu items","SKIPPED","2017-10-24T10:01:22.339-04:00","0.0","0.02"
